ts,mid,spreadBp,imb,features
2025-09-30T07:46:28.743717+00:00,113808.875,0.021966652424953676,-0.7271159416507781,113808.875;0.021966652424953676;-0.7271159416507781;113808.7841105073;0.06426857662528843
2025-09-30T07:46:30.249304+00:00,113808.875,0.021966652424953676,-0.7271159416507781,113808.875;0.021966652424953676;-0.7271159416507781;113808.7841105073;0.06426857662528843
2025-09-30T07:46:30.252151+00:00,113808.875,0.021966652424953676,-0.7271159416507781,113808.875;0.021966652424953676;-0.7271159416507781;113808.7841105073;0.06426857662528843
2025-09-30T07:46:30.258621+00:00,113808.875,0.021966652424953676,-0.7271159416507781,113808.875;0.021966652424953676;-0.7271159416507781;113808.7841105073;0.06426857662528843
2025-09-30T07:46:30.496033+00:00,113808.875,0.021966652424953676,-0.7278493891694523,113808.875;0.021966652424953676;-0.7278493891694523;113808.78401882637;0.06433340483736857
2025-09-30T07:46:31.251067+00:00,113808.875,0.021966652424953676,-0.7755805935221192,113808.875;0.021966652424953676;-0.7755805935221192;113808.77805242581;0.06855228712767478
2025-09-30T07:46:36.255825+00:00,113808.875,0.021966652424953676,-0.771063483465376,113808.875;0.021966652424953676;-0.771063483465376;113808.77861706457;0.06815302723291691
2025-09-30T07:46:37.003677+00:00,113808.875,0.021966652424953676,-0.1576607350188668,113808.875;0.021966652424953676;-0.1576607350188668;113808.85529240812;0.013935371862083578
2025-09-30T07:46:37.754805+00:00,113808.875,0.021966652424953676,-0.1576607350188668,113808.875;0.021966652424953676;-0.1576607350188668;113808.85529240812;0.013935371862083578
2025-09-30T07:46:37.756834+00:00,113808.875,0.021966652424953676,-0.1576607350188668,113808.875;0.021966652424953676;-0.1576607350188668;113808.85529240812;0.013935371862083578
2025-09-30T07:46:37.758673+00:00,113808.875,0.021966652424953676,-0.1576607350188668,113808.875;0.021966652424953676;-0.1576607350188668;113808.85529240812;0.013935371862083578
2025-09-30T07:46:37.759588+00:00,113808.875,0.021966652424953676,-0.15681163549523194,113808.875;0.021966652424953676;-0.15681163549523194;113808.85539854555;0.013860321362008982
2025-09-30T07:46:39.291522+00:00,113808.875,0.021966652424953676,-0.15681163549523194,113808.875;0.021966652424953676;-0.15681163549523194;113808.85539854555;0.013860321362008982
2025-09-30T07:46:39.291959+00:00,113808.875,0.021966652424953676,-0.15681163549523194,113808.875;0.021966652424953676;-0.15681163549523194;113808.85539854555;0.013860321362008982
2025-09-30T07:46:39.293091+00:00,113808.875,0.021966652424953676,-0.155960822416215,113808.875;0.021966652424953676;-0.155960822416215;113808.85550489719;0.01378511939669755
2025-09-30T07:46:40.007234+00:00,113808.875,0.021966652424953676,-0.1978337900413257,113808.875;0.021966652424953676;-0.1978337900413257;113808.85027077625;0.017486201805175468
2025-09-30T07:46:43.010825+00:00,113808.875,0.021966652424953676,-0.1978337900413257,113808.875;0.021966652424953676;-0.1978337900413257;113808.85027077625;0.017486201805175468
2025-09-30T07:46:43.013021+00:00,113808.875,0.021966652424953676,-0.1978337900413257,113808.875;0.021966652424953676;-0.1978337900413257;113808.85027077625;0.017486201805175468
2025-09-30T07:46:43.020478+00:00,113808.875,0.021966652424953676,-0.1848042944898228,113808.875;0.021966652424953676;-0.1848042944898228;113808.8518994632;0.016334546218099474
2025-09-30T07:46:46.014584+00:00,113808.875,0.021966652424953676,-0.6731121253861555,113808.875;0.021966652424953676;-0.6731121253861555;113808.79086098434;0.05949526853310526
2025-09-30T07:46:46.355292+00:00,113808.875,0.021966652424953676,-0.6731121253861555,113808.875;0.021966652424953676;-0.6731121253861555;113808.79086098434;0.05949526853310526
2025-09-30T07:46:46.355581+00:00,113808.875,0.021966652424953676,-0.6731121253861555,113808.875;0.021966652424953676;-0.6731121253861555;113808.79086098434;0.05949526853310526
2025-09-30T07:46:46.356145+00:00,113808.875,0.021966652424953676,-0.6731121253861555,113808.875;0.021966652424953676;-0.6731121253861555;113808.79086098434;0.05949526853310526
2025-09-30T07:46:46.763406+00:00,113808.875,0.021966652424953676,0.13963992001670028,113808.875;0.021966652424953676;0.13963992001670028;113808.89245499;0.012342541792154993
2025-09-30T07:46:50.805105+00:00,113808.875,0.021966652424953676,0.13963992001670028,113808.875;0.021966652424953676;0.13963992001670028;113808.89245499;0.012342541792154993
2025-09-30T07:46:55.464131+00:00,113808.875,0.021966652424953676,-0.25883549772177505,113808.875;0.021966652424953676;-0.25883549772177505;113808.84264556278;0.02287804196131938
2025-09-30T07:46:56.086664+00:00,113808.875,0.021966652424953676,-0.8030509869174898,113808.875;0.021966652424953676;-0.8030509869174898;113808.77461862663;0.07098034981446331
2025-09-30T07:46:58.526872+00:00,113808.875,0.021966652424953676,-0.8030509869174898,113808.875;0.021966652424953676;-0.8030509869174898;113808.77461862663;0.07098034981446331
2025-09-30T07:46:58.528194+00:00,113808.875,0.021966652424953676,-0.8030509869174898,113808.875;0.021966652424953676;-0.8030509869174898;113808.77461862663;0.07098034981446331
2025-09-30T07:46:58.529060+00:00,113808.875,0.021966652424953676,-0.8030509869174898,113808.875;0.021966652424953676;-0.8030509869174898;113808.77461862663;0.07098034981446331
2025-09-30T07:46:58.529661+00:00,113808.875,0.021966652424953676,-0.8194869686240485,113808.875;0.021966652424953676;-0.8194869686240485;113808.77256412893;0.0724330990711015
2025-09-30T07:46:59.277710+00:00,113808.875,0.021966652424953676,-0.8194869686240485,113808.875;0.021966652424953676;-0.8194869686240485;113808.77256412893;0.0724330990711015
2025-09-30T07:46:59.278140+00:00,113808.875,0.021966652424953676,-0.8194869686240485,113808.875;0.021966652424953676;-0.8194869686240485;113808.77256412893;0.0724330990711015
